shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
shape_73_tafo_megenagna,9.057081654846826,38.87802419968048,1,0.0
shape_73_tafo_megenagna,9.056599779495585,38.87822381923354,2,57.89
shape_73_tafo_megenagna,9.055022728372577,38.87769150043306,3,242.74
shape_73_tafo_megenagna,9.045330533598843,38.87748028095291,4,1320.71
shape_73_tafo_megenagna,9.037511325794668,38.87746532099902,5,2190.17
shape_73_tafo_megenagna,9.026107028431454,38.87762863876162,6,3458.4
shape_73_tafo_megenagna,9.024683181461285,38.877451199161925,7,3617.91
shape_73_tafo_megenagna,9.02325932887193,38.87685234051153,8,3789.36
shape_73_tafo_megenagna,9.022032620596406,38.875965142510125,9,3956.98
shape_73_tafo_megenagna,9.021528792718584,38.8752332039106,10,4054.96
shape_73_tafo_megenagna,9.02130636619512,38.87212160212755,11,4397.57
shape_73_tafo_megenagna,9.021292455986554,38.86874133860371,12,4768.79
shape_73_tafo_megenagna,9.021028161920867,38.867910357153164,13,4864.66
shape_73_tafo_megenagna,9.020917781068349,38.86307940472179,14,5395.34
shape_73_tafo_megenagna,9.020695217426251,38.86037519390217,15,5693.34
shape_73_tafo_megenagna,9.02097695618265,38.85331531114517,16,6469.29
shape_73_tafo_megenagna,9.02161682578334,38.85230123208845,17,6601.44
shape_73_tafo_megenagna,9.021060417499939,38.851132224286204,18,6743.95
shape_73_tafo_megenagna,9.021615992188302,38.839156245305304,19,8060.6
shape_73_tafo_megenagna,9.02193592166104,38.83282983158773,20,8756.27
shape_73_tafo_megenagna,9.021949831844793,38.83105519323789,21,8951.17
shape_73_tafo_megenagna,9.019151773333363,38.82362390589341,22,9824.57
shape_73_tafo_megenagna,9.018952440336562,38.82226156454411,23,9975.81
shape_73_tafo_megenagna,9.018952440336562,38.8211515086293,24,10097.72
shape_73_tafo_megenagna,9.019725448081587,38.81698039682291,25,10563.78
shape_73_tafo_megenagna,9.020069939761967,38.81156019782978,26,11160.26
shape_73_tafo_megenagna,9.020680394826059,38.80807865882625,27,11548.58
shape_73_tafo_megenagna,9.019860562043235,38.803118223812305,28,12100.91
shape_101_shola_piassa,9.024655502044794,38.7958242295978,1,0.0
shape_101_shola_piassa,9.029206940370372,38.7881433693031,2,983.68
shape_101_shola_piassa,9.033718207160277,38.78084634799794,3,1929.07
shape_101_shola_piassa,9.035015739570099,38.779572942212695,4,2129.99
shape_101_shola_piassa,9.034615537397656,38.77778638507118,5,2331.17
shape_101_shola_piassa,9.03501477764138,38.777422554846225,6,2390.89
shape_101_shola_piassa,9.032779026574374,38.77519914791887,7,2739.35
shape_101_shola_piassa,9.032399746000351,38.772894889830695,8,2995.88
shape_101_shola_piassa,9.0314215995176,38.771399143351886,9,3192.89
shape_101_shola_piassa,9.031441561717145,38.7700448864058,10,3341.62
shape_101_shola_piassa,9.033218193057508,38.76792254342942,11,3647.15
shape_101_shola_piassa,9.03330689370621,38.76703327507116,12,3745.3
